round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation
150,0.4715311527252197,0.011263256,0.031139288,0.001,5,2,(3, 1),tanh,6,sigmoid
150,0.3777879774570465,0.01088403,0.034194827,0.001,6,2,(6, 6),elu,6,softplus
150,1.6113201379776,0.040335074,0.11404241,0.01,5,4,(6, 3),tanh,6,softplus
150,3.296626329421997,0.08747979,0.0124784,0.001,5,3,(3, 3),relu,3,sigmoid
150,0.31753405928611755,0.008959559,0.038893305,0.0001,5,2,(6, 3),elu,3,relu
150,0.3892067074775696,0.011057893,0.1041104,0.0001,6,2,(6, 6),tanh,3,relu
150,0.850116491317749,0.01981931,0.40159947,0.0001,6,2,(3, 1),elu,6,relu
150,0.7724568843841553,0.01854676,0.06265376,0.01,4,4,(3, 1),elu,3,relu
150,0.9248904585838318,0.02270658,0.40307373,0.01,5,3,(3, 1),tanh,6,relu
150,3.3762166500091553,0.07901959,0.18341868,0.001,4,2,(6, 6),relu,6,relu
150,0.7738937139511108,0.020196574,0.07589929,0.001,4,3,(6, 6),tanh,6,softplus
150,6.204092025756836,0.16603558,0.018477997,0.001,5,3,(6, 3),relu,6,softplus
150,0.9880308508872986,0.023662124,0.47544295,0.0001,5,2,(3, 1),elu,6,relu
150,1.7433409690856934,0.04145032,0.11059571,0.001,5,4,(3, 1),elu,3,softplus
150,1.0788652896881104,0.029872738,0.09075191,0.0001,5,2,(6, 3),tanh,6,softplus
150,1.0114600658416748,0.024466982,0.043966196,0.0001,5,4,(3, 1),elu,6,sigmoid
150,0.3186853528022766,0.008987912,0.022939365,0.01,6,2,(6, 1),elu,6,sigmoid
150,0.7790942192077637,0.020997668,0.3351889,0.0001,6,3,(6, 1),elu,3,relu
150,0.7659224271774292,0.01881239,0.26066586,0.001,5,4,(6, 3),tanh,3,relu
