round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation
100,1.6162374019622803,0.04052232,0.10721558,0.0001,4,4,(3, 1),elu,6,softplus
100,1.5178649425506592,0.037570972,0.6465732,0.0001,4,3,(3, 3),relu,3,sigmoid
100,5.125746726989746,0.13409455,0.086453356,0.001,6,3,(6, 6),relu,6,sigmoid
100,0.7340512871742249,0.017942393,0.07867295,0.001,5,2,(3, 3),elu,6,softplus
100,2.254354953765869,0.05910201,0.13293712,0.001,6,3,(6, 6),relu,3,sigmoid
100,1.5292637348175049,0.038592562,0.09334959,0.0001,6,3,(3, 3),tanh,3,softplus
100,1.5068719387054443,0.03689112,0.11649974,0.0001,6,3,(3, 1),elu,6,softplus
100,6.505966663360596,0.17431903,0.038960934,0.001,4,2,(6, 1),relu,3,softplus
100,0.8846572637557983,0.025578653,0.3432132,0.01,4,2,(6, 1),elu,3,relu
100,0.4992440938949585,0.018017864,0.020126767,0.001,5,3,(6, 6),elu,3,sigmoid
100,2.206880807876587,0.054737642,0.13617606,0.0001,5,3,(6, 1),tanh,3,relu
100,4.157036304473877,0.10102152,0.24664314,0.01,4,2,(3, 3),relu,6,relu
100,2.2767515182495117,0.060091816,0.14560305,0.0001,4,3,(6, 1),relu,3,softplus
100,0.8410452604293823,0.022916546,0.073000275,0.01,4,4,(6, 1),elu,6,softplus
100,0.8363871574401855,0.025054127,0.0750023,0.001,4,4,(6, 1),tanh,6,softplus
100,0.7205722332000732,0.01973726,0.28605077,0.001,5,2,(6, 1),tanh,6,relu
100,4.156399726867676,0.10101192,0.246395,0.001,6,3,(3, 3),relu,3,relu
100,0.618073582649231,0.016146345,0.055544283,0.01,6,3,(6, 6),relu,3,sigmoid
100,5.125746250152588,0.13409455,0.08645336,0.0001,4,2,(3, 1),relu,3,sigmoid
100,2.311383008956909,0.05815256,0.12624702,0.001,5,4,(6, 1),tanh,3,sigmoid
100,0.8471792936325073,0.026417172,0.15812813,0.01,4,3,(6, 1),elu,3,relu
100,0.6563152074813843,0.016757976,0.01932967,0.01,4,2,(3, 3),tanh,3,sigmoid
100,0.37908661365509033,0.012720282,0.014911777,0.0001,4,2,(6, 6),elu,6,sigmoid
100,3.5032777786254883,0.09327842,0.016867442,0.001,6,2,(3, 3),relu,3,sigmoid
100,0.31783291697502136,0.010039802,0.016595392,0.001,4,3,(6, 6),elu,6,sigmoid
100,1.1724563837051392,0.029974017,0.5092729,0.01,6,2,(6, 6),relu,6,softplus
100,0.9234895706176758,0.023988761,0.07975026,0.0001,6,4,(3, 1),tanh,6,softplus
100,1.955798864364624,0.046607032,0.9719078,0.0001,4,4,(6, 3),relu,3,softplus
100,0.8185117244720459,0.021632345,0.21282068,0.01,5,2,(6, 6),relu,3,sigmoid
100,6.5060930252075195,0.1743223,0.03895848,0.001,4,2,(3, 1),relu,3,softplus
100,2.3292360305786133,0.057153407,0.13707006,0.001,5,3,(3, 1),tanh,3,sigmoid
100,6.505738735198975,0.17431262,0.038967676,0.0001,5,3,(6, 6),relu,3,softplus
100,1.2245973348617554,0.030925972,0.06902221,0.0001,4,3,(3, 3),tanh,3,sigmoid
100,0.5366557240486145,0.013936047,0.029271845,0.001,6,2,(3, 3),elu,6,sigmoid
100,0.6636525392532349,0.019600647,0.045613274,0.01,6,2,(6, 1),elu,6,sigmoid
100,1.4086990356445312,0.03571979,0.08567957,0.0001,4,4,(3, 1),elu,3,sigmoid
100,1.045526146888733,0.02559432,0.3900399,0.0001,6,3,(3, 1),elu,6,relu
100,0.456532746553421,0.012538295,0.024823885,0.01,6,3,(3, 3),elu,3,sigmoid
100,0.7190922498703003,0.01971968,0.25443852,0.01,5,2,(6, 3),elu,6,relu
100,1.069493293762207,0.02969154,0.07870474,0.0001,5,3,(6, 1),tanh,6,softplus
100,0.8215506076812744,0.02264772,0.069831975,0.01,5,4,(3, 3),tanh,6,relu
100,6.505763530731201,0.17431293,0.03896706,0.01,4,3,(6, 1),relu,3,softplus
100,0.6049136519432068,0.019303257,0.021231696,0.01,6,4,(6, 3),tanh,6,sigmoid
100,0.7575228810310364,0.022829816,0.026678666,0.001,6,4,(6, 3),tanh,3,sigmoid
100,0.4907890856266022,0.012137422,0.037982218,0.001,4,3,(3, 3),elu,6,softplus
100,2.203906536102295,0.055930838,0.12290648,0.0001,4,2,(6, 6),tanh,3,softplus
100,0.45418739318847656,0.012122745,0.016034871,0.0001,4,2,(3, 1),tanh,6,sigmoid
100,3.4128222465515137,0.091998376,0.02136605,0.0001,6,2,(6, 1),relu,6,sigmoid
100,2.2096688747406006,0.055269167,0.12548774,0.001,5,2,(6, 1),tanh,6,sigmoid
