round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation,learning_rate
400,0.007845826659883771,0.007751132,0.094694875,0.01,4,2,(6, 6),tanh,3,relu,0.001
400,0.05149099613939013,0.051348627,0.14236793,0.01,4,2,(6, 6),tanh,3,relu,0.0001
400,0.05123235891972269,0.051073164,0.15919602,0.01,4,2,(6, 6),tanh,3,sigmoid,0.001
400,0.023330084660223554,0.02327132,0.058763176,0.01,4,2,(6, 6),tanh,3,sigmoid,0.0001
400,0.00802451227126377,0.0080170585,0.0074541364,0.01,4,2,(6, 6),tanh,3,softplus,0.001
400,0.033436865572418484,0.033347715,0.08915087,0.01,4,2,(6, 6),tanh,3,softplus,0.0001
400,0.0025784309088651624,0.002570166,0.008265119,0.01,4,2,(6, 6),softplus,6,relu,0.001
400,0.020114814915827343,0.02003707,0.07774355,0.01,4,2,(6, 6),softplus,6,relu,0.0001
400,0.00862233785114118,0.008591753,0.030585092,0.01,4,2,(6, 6),softplus,6,sigmoid,0.001
400,0.1253124931028911,0.12526932,0.043172497,0.01,4,2,(6, 6),softplus,6,sigmoid,0.0001
400,0.09511598263468062,0.094916545,0.19943216,0.01,4,2,(6, 6),softplus,6,softplus,0.001
400,0.009670449660292693,0.009649401,0.021049371,0.01,4,2,(6, 6),softplus,6,softplus,0.0001
400,0.05034914378608976,0.050194185,0.15495703,0.01,4,2,(6, 6),softplus,3,relu,0.001
400,0.019299999145524844,0.019253017,0.04698076,0.01,4,2,(6, 6),softplus,3,relu,0.0001
400,0.01283982489258051,0.012827269,0.012555731,0.01,4,2,(6, 6),softplus,3,sigmoid,0.001
400,0.12338012009859085,0.12335961,0.020511918,0.01,4,2,(6, 6),softplus,3,sigmoid,0.0001
400,0.004314114073557513,0.004302954,0.011160258,0.01,4,2,(6, 6),softplus,3,softplus,0.001
400,0.011934139819017479,0.011902317,0.03182234,0.01,4,2,(6, 6),softplus,3,softplus,0.0001
400,0.0033039260589118515,0.0032912919,0.01263413,0.01,4,2,(6, 3),relu,6,relu,0.001
400,0.015273283421993255,0.015237919,0.035364944,0.01,4,2,(6, 3),relu,6,relu,0.0001
400,0.012366841334317412,0.012367897,-0.0010550027,0.01,4,2,(6, 3),relu,6,sigmoid,0.001
400,0.11638156643935613,0.1163723,0.009264185,0.01,4,2,(6, 3),relu,6,sigmoid,0.0001
400,0.09527279734611512,0.09507641,0.19639255,0.01,4,2,(6, 3),relu,6,softplus,0.001
400,0.20876274023737226,0.20877273,-0.00998568,0.01,4,2,(6, 3),relu,6,softplus,0.0001
400,0.0038716736781810013,0.003863513,0.008160772,0.01,4,2,(6, 3),relu,3,relu,0.001
400,0.08861751492534364,0.08677401,1.8435019,0.01,4,2,(6, 3),relu,3,relu,0.0001
400,0.05139948055148125,0.05124471,0.1547721,0.01,4,2,(6, 3),relu,3,sigmoid,0.001
400,0.11692403895514351,0.11691042,0.013620421,0.01,4,2,(6, 3),relu,3,sigmoid,0.0001
400,0.04988598887409482,0.049745627,0.14035954,0.01,4,2,(6, 3),relu,3,softplus,0.001
400,0.2121400088071823,0.21213058,0.0094494345,0.01,4,2,(6, 3),relu,3,softplus,0.0001
400,0.003810245996075017,0.0037992129,0.01103334,0.01,4,2,(6, 3),elu,6,relu,0.001
400,0.012100684908883913,0.012055833,0.044850964,0.01,4,2,(6, 3),elu,6,relu,0.0001
400,0.003961632068135909,0.0039618737,-0.0002418672,0.01,4,2,(6, 3),elu,6,sigmoid,0.001
400,0.05286888075726373,0.05273475,0.1341297,0.01,4,2,(6, 3),elu,6,sigmoid,0.0001
400,0.003809886711782643,0.0038109082,-0.001021402,0.01,4,2,(6, 3),elu,6,softplus,0.001
400,0.010735267507178443,0.010715162,0.02010428,0.01,4,2,(6, 3),elu,6,softplus,0.0001
400,0.003484287964446204,0.0034744833,0.009804577,0.01,4,2,(6, 3),elu,3,relu,0.001
400,0.01754961434219565,0.017468603,0.08101029,0.01,4,2,(6, 3),elu,3,relu,0.0001
400,0.002316235760892076,0.0023051174,0.011118331,0.01,4,2,(6, 3),elu,3,sigmoid,0.001
400,0.00876650054539953,0.008748525,0.01797599,0.01,4,2,(6, 3),elu,3,sigmoid,0.0001
400,0.003965687312717949,0.0039537475,0.011939819,0.01,4,2,(6, 3),elu,3,softplus,0.001
400,0.024590695915477617,0.024532756,0.05794064,0.01,4,2,(6, 3),elu,3,softplus,0.0001
400,0.005824022394205842,0.0058040856,0.019936293,0.01,4,2,(6, 3),tanh,6,relu,0.001
400,0.014622642392558711,0.014581874,0.0407671,0.01,4,2,(6, 3),tanh,6,relu,0.0001
400,0.004204302054962941,0.004196586,0.0077161966,0.01,4,2,(6, 3),tanh,6,sigmoid,0.001
400,0.05401551957641329,0.053869974,0.14554475,0.01,4,2,(6, 3),tanh,6,sigmoid,0.0001
400,0.004681115224957466,0.0046678544,0.013261102,0.01,4,2,(6, 3),tanh,6,softplus,0.001
400,0.015499916992017202,0.015449333,0.05058364,0.01,4,2,(6, 3),tanh,6,softplus,0.0001
400,0.0035436362294214113,0.003538488,0.00514857,0.01,4,2,(6, 3),tanh,3,relu,0.001
400,0.016762385410921916,0.016712278,0.050108228,0.01,4,2,(6, 3),tanh,3,relu,0.0001
400,0.009760957104819161,0.009766754,-0.0057973466,0.01,4,2,(6, 3),tanh,3,sigmoid,0.001
400,0.026765938901475498,0.02669862,0.06732103,0.01,4,2,(6, 3),tanh,3,sigmoid,0.0001
400,0.006985046475061349,0.006961009,0.024037356,0.01,4,2,(6, 3),tanh,3,softplus,0.001
400,0.02205156891473702,0.021987587,0.06398254,0.01,4,2,(6, 3),tanh,3,softplus,0.0001
400,0.0038698443743799414,0.0038592606,0.010583754,0.01,4,2,(6, 3),softplus,6,relu,0.001
400,0.019002339563199452,0.018880304,0.12203557,0.01,4,2,(6, 3),softplus,6,relu,0.0001
400,0.0044991886775408475,0.0044811405,0.01804812,0.01,4,2,(6, 3),softplus,6,sigmoid,0.001
400,0.017904733174613545,0.017853126,0.051607665,0.01,4,2,(6, 3),softplus,6,sigmoid,0.0001
400,0.003975487859653575,0.0039674314,0.008056914,0.01,4,2,(6, 3),softplus,6,softplus,0.001
400,0.017202192917466164,0.017161908,0.040284693,0.01,4,2,(6, 3),softplus,6,softplus,0.0001
400,0.00417346078902483,0.0041663414,0.0071195923,0.01,4,2,(6, 3),softplus,3,relu,0.001
400,0.14902361290795463,0.14544585,3.5777578,0.01,4,2,(6, 3),softplus,3,relu,0.0001
400,0.005930164349930627,0.005919091,0.011073604,0.01,4,2,(6, 3),softplus,3,sigmoid,0.001
400,0.12882526240178516,0.12878098,0.04427678,0.01,4,2,(6, 3),softplus,3,sigmoid,0.0001
400,0.09536993205547332,0.095175184,0.19475694,0.01,4,2,(6, 3),softplus,3,softplus,0.001
400,0.24402248348508562,0.24403016,-0.007675721,0.01,4,2,(6, 3),softplus,3,softplus,0.0001
400,0.05088838306920869,0.050758976,0.12941124,0.01,4,2,(6, 1),relu,6,relu,0.001
400,0.01963468449456351,0.019585323,0.04936077,0.01,4,2,(6, 1),relu,6,relu,0.0001
400,0.054287382534572055,0.054164805,0.12258005,0.01,4,2,(6, 1),relu,6,sigmoid,0.001
400,0.11614415411438261,0.11613114,0.013010465,0.01,4,2,(6, 1),relu,6,sigmoid,0.0001
400,0.09533180360283171,0.09513642,0.19538671,0.01,4,2,(6, 1),relu,6,softplus,0.001
400,0.06212756378310067,0.061947443,0.18012327,0.01,4,2,(6, 1),relu,6,softplus,0.0001
400,0.06352461544530733,0.06335802,0.16660084,0.01,4,2,(6, 1),relu,3,relu,0.001
400,0.021877210001860346,0.021829963,0.04724585,0.01,4,2,(6, 1),relu,3,relu,0.0001
400,0.09462733481611524,0.094408445,0.2188937,0.01,4,2,(6, 1),relu,3,sigmoid,0.001
400,0.03564528322645596,0.03509561,0.54967606,0.01,4,2,(6, 1),relu,3,sigmoid,0.0001
400,0.09526191885982241,0.09506537,0.19655414,0.01,4,2,(6, 1),relu,3,softplus,0.001
400,0.027236457648021833,0.027174564,0.061893355,0.01,4,2,(6, 1),relu,3,softplus,0.0001
400,0.004999025338994605,0.004944932,0.05409317,0.01,4,2,(6, 1),elu,6,relu,0.001
400,0.012377938814461231,0.012264629,0.113309234,0.01,4,2,(6, 1),elu,6,relu,0.0001
400,0.0032582856315587247,0.0032490245,0.009261122,0.01,4,2,(6, 1),elu,6,sigmoid,0.001
400,0.009180683123746088,0.009156671,0.024011794,0.01,4,2,(6, 1),elu,6,sigmoid,0.0001
400,0.003199690753327949,0.0031952828,0.004407969,0.01,4,2,(6, 1),elu,6,softplus,0.001
400,0.010347107451941286,0.010326281,0.020825779,0.01,4,2,(6, 1),elu,6,softplus,0.0001
400,0.007655320130288601,0.0075588184,0.096501544,0.01,4,2,(6, 1),elu,3,relu,0.001
400,0.012377364374697209,0.012339812,0.037552796,0.01,4,2,(6, 1),elu,3,relu,0.0001
400,0.003394868690520525,0.0033875136,0.0073551936,0.01,4,2,(6, 1),elu,3,sigmoid,0.001
400,0.053180743328162604,0.05303734,0.14339994,0.01,4,2,(6, 1),elu,3,sigmoid,0.0001
400,0.003473624068179301,0.003469666,0.003958118,0.01,4,2,(6, 1),elu,3,softplus,0.001
400,0.019160967878997327,0.01909624,0.06472782,0.01,4,2,(6, 1),elu,3,softplus,0.0001
400,0.003717651657227959,0.003702157,0.015494689,0.01,4,2,(6, 1),tanh,6,relu,0.001
400,0.053373012265988756,0.05318805,0.18496461,0.01,4,2,(6, 1),tanh,6,relu,0.0001
400,0.003819919444088425,0.0038160312,0.0038883502,0.01,4,2,(6, 1),tanh,6,sigmoid,0.001
400,0.057213952498776574,0.05707627,0.13767934,0.01,4,2,(6, 1),tanh,6,sigmoid,0.0001
400,0.004507386551371642,0.004495772,0.011614109,0.01,4,2,(6, 1),tanh,6,softplus,0.001
400,0.026128373028976578,0.02606188,0.066493474,0.01,4,2,(6, 1),tanh,6,softplus,0.0001
400,0.006581430017415966,0.006573559,0.007871188,0.01,4,2,(6, 1),tanh,3,relu,0.001
400,0.019312128371426037,0.019249797,0.062331144,0.01,4,2,(6, 1),tanh,3,relu,0.0001
400,0.004531309075121369,0.004528535,0.0027743885,0.01,4,2,(6, 1),tanh,3,sigmoid,0.001
400,0.05047607847622463,0.050368775,0.10730155,0.01,4,2,(6, 1),tanh,3,sigmoid,0.0001
400,0.006894055700727871,0.0068650506,0.02900551,0.01,4,2,(6, 1),tanh,3,softplus,0.001
400,0.0364867844751903,0.036398277,0.08850694,0.01,4,2,(6, 1),tanh,3,softplus,0.0001
400,0.004340237285941839,0.0043344563,0.005781071,0.01,4,2,(6, 1),softplus,6,relu,0.001
400,0.034066090626376014,0.033956237,0.10985364,0.01,4,2,(6, 1),softplus,6,relu,0.0001
400,0.010352096121226038,0.010320159,0.031937912,0.01,4,2,(6, 1),softplus,6,sigmoid,0.001
400,0.14111430261816296,0.1410465,0.06780081,0.01,4,2,(6, 1),softplus,6,sigmoid,0.0001
400,0.004916447480874402,0.004900032,0.01641499,0.01,4,2,(6, 1),softplus,6,softplus,0.001
400,0.24166615392480578,0.24167308,-0.0069419914,0.01,4,2,(6, 1),softplus,6,softplus,0.0001
400,0.006438661406614951,0.006403893,0.03476818,0.01,4,2,(6, 1),softplus,3,relu,0.001
400,0.15327818308557783,0.14961039,3.667792,0.01,4,2,(6, 1),softplus,3,relu,0.0001
400,0.021774801079716,0.021759316,0.015484226,0.01,4,2,(6, 1),softplus,3,sigmoid,0.001
400,0.03928820416331291,0.039172,0.11620305,0.01,4,2,(6, 1),softplus,3,sigmoid,0.0001
400,0.04353686315672738,0.04350545,0.031411353,0.01,4,2,(6, 1),softplus,3,softplus,0.001
400,0.05160672292113304,0.051472645,0.13407655,0.01,4,2,(6, 1),softplus,3,softplus,0.0001
400,0.09462666234799794,0.09440675,0.21991467,0.01,4,2,(3, 3),relu,6,relu,0.001
400,0.10560798134122576,0.10524942,0.35857058,0.01,4,2,(3, 3),relu,6,relu,0.0001
400,0.005011880763673357,0.0049995733,0.012307553,0.01,4,2,(3, 3),relu,6,sigmoid,0.001
400,0.02634908477110522,0.026242305,0.10678067,0.01,4,2,(3, 3),relu,6,sigmoid,0.0001
400,0.09520838537386485,0.09501084,0.19754784,0.01,4,2,(3, 3),relu,6,softplus,0.001
400,0.015622121947152274,0.01558202,0.040102948,0.01,4,2,(3, 3),relu,6,softplus,0.0001
400,0.09462534316948482,0.0944041,0.22124007,0.01,4,2,(3, 3),relu,3,relu,0.001
400,0.023238735646009444,0.02319484,0.043896955,0.01,4,2,(3, 3),relu,3,relu,0.0001
400,0.025151797862989562,0.025115123,0.03667634,0.01,4,2,(3, 3),relu,3,sigmoid,0.001
400,0.0190244162189109,0.018976675,0.04774254,0.01,4,2,(3, 3),relu,3,sigmoid,0.0001
400,0.00399399498211486,0.0039878157,0.006179567,0.01,4,2,(3, 3),relu,3,softplus,0.001
400,0.03162122006927218,0.031481843,0.13937765,0.01,4,2,(3, 3),relu,3,softplus,0.0001
400,0.0037131381886346,0.003692699,0.02043915,0.01,4,2,(3, 3),elu,6,relu,0.001
400,0.018413388782313894,0.018342772,0.07061563,0.01,4,2,(3, 3),elu,6,relu,0.0001
400,0.004298328568360635,0.0042887414,0.009587283,0.01,4,2,(3, 3),elu,6,sigmoid,0.001
400,0.008523202075489929,0.008499861,0.023341896,0.01,4,2,(3, 3),elu,6,sigmoid,0.0001
400,0.004118365967380149,0.0041110786,0.0072874664,0.01,4,2,(3, 3),elu,6,softplus,0.001
400,0.010437233479959625,0.010408297,0.028936999,0.01,4,2,(3, 3),elu,6,softplus,0.0001
400,0.003745503697012152,0.00373266,0.012843762,0.01,4,2,(3, 3),elu,3,relu,0.001
400,0.01736089890556676,0.017306713,0.054187685,0.01,4,2,(3, 3),elu,3,relu,0.0001
400,0.004595614490764482,0.004576035,0.019579906,0.01,4,2,(3, 3),elu,3,sigmoid,0.001
400,0.025465329896126473,0.025418285,0.047045104,0.01,4,2,(3, 3),elu,3,sigmoid,0.0001
400,0.004806125124118158,0.0047823754,0.023750016,0.01,4,2,(3, 3),elu,3,softplus,0.001
400,0.015639060576047217,0.015553621,0.08543862,0.01,4,2,(3, 3),elu,3,softplus,0.0001
400,0.003961738658004574,0.003949327,0.012411913,0.01,4,2,(3, 3),tanh,6,relu,0.001
400,0.05645485381994929,0.05626605,0.18879853,0.01,4,2,(3, 3),tanh,6,relu,0.0001
400,0.004755800895925079,0.004742819,0.012981951,0.01,4,2,(3, 3),tanh,6,sigmoid,0.001
400,0.05651673312698092,0.05635935,0.15738194,0.01,4,2,(3, 3),tanh,6,sigmoid,0.0001
400,0.006205572440688099,0.0061936113,0.011961021,0.01,4,2,(3, 3),tanh,6,softplus,0.001
400,0.02129741476050445,0.021241931,0.055483174,0.01,4,2,(3, 3),tanh,6,softplus,0.0001
400,0.003869341779500246,0.0038580324,0.011309022,0.01,4,2,(3, 3),tanh,3,relu,0.001
400,0.014824063038187368,0.0147917885,0.032273963,0.01,4,2,(3, 3),tanh,3,relu,0.0001
400,0.0068463966915650026,0.006832693,0.013703877,0.01,4,2,(3, 3),tanh,3,sigmoid,0.001
400,0.03926211393305234,0.039176174,0.08594077,0.01,4,2,(3, 3),tanh,3,sigmoid,0.0001
400,0.006040084016110216,0.006020697,0.019386953,0.01,4,2,(3, 3),tanh,3,softplus,0.001
400,0.025850927191121236,0.025771338,0.07958975,0.01,4,2,(3, 3),tanh,3,softplus,0.0001
400,0.011145187448710204,0.011107789,0.037397873,0.01,4,2,(3, 3),softplus,6,relu,0.001
400,0.08441873756902558,0.08260865,1.8100939,0.01,4,2,(3, 3),softplus,6,relu,0.0001
400,0.05237009504011699,0.052209914,0.16018191,0.01,4,2,(3, 3),softplus,6,sigmoid,0.001
400,0.032556736575705666,0.03246023,0.09650096,0.01,4,2,(3, 3),softplus,6,sigmoid,0.0001
400,0.012598778626748493,0.012569985,0.028792968,0.01,4,2,(3, 3),softplus,6,softplus,0.001
400,0.016349188743957452,0.016314764,0.034425676,0.01,4,2,(3, 3),softplus,6,softplus,0.0001
400,0.004768287244119814,0.0047598514,0.008435548,0.01,4,2,(3, 3),softplus,3,relu,0.001
400,0.033258969549621854,0.03317476,0.0842086,0.01,4,2,(3, 3),softplus,3,relu,0.0001
400,0.005293731125337737,0.005272561,0.021169754,0.01,4,2,(3, 3),softplus,3,sigmoid,0.001
400,0.022622925947819436,0.022555102,0.06782686,0.01,4,2,(3, 3),softplus,3,sigmoid,0.0001
400,0.04799023483480726,0.04797516,0.015075953,0.01,4,2,(3, 3),softplus,3,softplus,0.001
400,0.038647251576185225,0.038556814,0.09043672,0.01,4,2,(3, 3),softplus,3,softplus,0.0001
400,0.062095041785921366,0.061941214,0.15382603,0.01,4,2,(3, 1),relu,6,relu,0.001
400,0.10611718062843595,0.105754256,0.36291692,0.01,4,2,(3, 1),relu,6,relu,0.0001
400,0.007136042974889278,0.0071096956,0.026347386,0.01,4,2,(3, 1),relu,6,sigmoid,0.001
400,0.02740955049438136,0.027331257,0.07829348,0.01,4,2,(3, 1),relu,6,sigmoid,0.0001
400,0.0049590819182672675,0.004945451,0.013630927,0.01,4,2,(3, 1),relu,6,softplus,0.001
400,0.21225194462708064,0.21224256,0.009384332,0.01,4,2,(3, 1),relu,6,softplus,0.0001
400,0.023004849893706186,0.022931442,0.07340803,0.01,4,2,(3, 1),relu,3,relu,0.001
400,0.10553848658289228,0.1051805,0.3579872,0.01,4,2,(3, 1),relu,3,relu,0.0001
400,0.050642346484320505,0.050506774,0.13557172,0.01,4,2,(3, 1),relu,3,sigmoid,0.001
400,0.12590425865990776,0.12583071,0.07356521,0.01,4,2,(3, 1),relu,3,sigmoid,0.0001
400,0.007301733363419771,0.007288151,0.01358289,0.01,4,2,(3, 1),relu,3,softplus,0.001
400,0.05531952232122421,0.055176307,0.14321771,0.01,4,2,(3, 1),relu,3,softplus,0.0001
400,0.005259336371506963,0.005245409,0.013927564,0.01,4,2,(3, 1),elu,6,relu,0.001
400,0.037514594090836385,0.0370962,0.4183956,0.01,4,2,(3, 1),elu,6,relu,0.0001
400,0.0044101078728479995,0.004399434,0.010673578,0.01,4,2,(3, 1),elu,6,sigmoid,0.001
400,0.027217555631484303,0.027140936,0.07661897,0.01,4,2,(3, 1),elu,6,sigmoid,0.0001
400,0.0037600754826728785,0.0037568817,0.003193869,0.01,4,2,(3, 1),elu,6,softplus,0.001
400,0.01487910763493606,0.014779693,0.09941504,0.01,4,2,(3, 1),elu,6,softplus,0.0001
400,0.004681636047150407,0.004627608,0.054027207,0.01,4,2,(3, 1),elu,3,relu,0.001
400,0.04629165338618415,0.04600094,0.29071242,0.01,4,2,(3, 1),elu,3,relu,0.0001
400,0.00415021384667073,0.0041428683,0.0073452694,0.01,4,2,(3, 1),elu,3,sigmoid,0.001
400,0.02303587094481502,0.02296349,0.07238205,0.01,4,2,(3, 1),elu,3,sigmoid,0.0001
400,0.004894405669931855,0.004884738,0.009667749,0.01,4,2,(3, 1),elu,3,softplus,0.001
400,0.051772354117461616,0.051632393,0.13996068,0.01,4,2,(3, 1),elu,3,softplus,0.0001
400,0.005394923673676593,0.005373032,0.021891927,0.01,4,2,(3, 1),tanh,6,relu,0.001
400,0.013967625424265861,0.013930396,0.03722828,0.01,4,2,(3, 1),tanh,6,relu,0.0001
400,0.0038177955296954938,0.0038138793,0.0039159646,0.01,4,2,(3, 1),tanh,6,sigmoid,0.001
400,0.05425111438546862,0.054103635,0.14747837,0.01,4,2,(3, 1),tanh,6,sigmoid,0.0001
400,0.021648022159934045,0.021573683,0.07433848,0.01,4,2,(3, 1),tanh,6,softplus,0.001
