round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation,learning_rate
400,0.01831823316003595,0.01825603,0.062203046,0.01,4,2,(6, 6),relu,6,relu,0.001
400,0.019958338141441344,0.01991663,0.041707933,0.01,4,2,(6, 6),relu,6,relu,0.0001
400,0.013754408221159663,0.013722473,0.031936098,0.01,4,2,(6, 6),relu,6,sigmoid,0.001
400,0.01820157335272857,0.018154576,0.046997804,0.01,4,2,(6, 6),relu,6,sigmoid,0.0001
400,0.0037462098856589623,0.003739191,0.0070189824,0.01,4,2,(6, 6),relu,6,softplus,0.001
400,0.00909206441470555,0.009069743,0.022321459,0.01,4,2,(6, 6),relu,6,softplus,0.0001
400,0.09462567482675825,0.09440631,0.21936965,0.01,4,2,(6, 6),relu,3,relu,0.001
400,0.10514876587050302,0.10479413,0.35464337,0.01,4,2,(6, 6),relu,3,relu,0.0001
400,0.0038557635154575108,0.0038443028,0.011460467,0.01,4,2,(6, 6),relu,3,sigmoid,0.001
400,0.11386116125753948,0.113845766,0.015401292,0.01,4,2,(6, 6),relu,3,sigmoid,0.0001
400,0.003265922104141542,0.003251665,0.014257197,0.01,4,2,(6, 6),relu,3,softplus,0.001
400,0.01074277109333447,0.010715237,0.027534118,0.01,4,2,(6, 6),relu,3,softplus,0.0001
400,0.004133410924779517,0.0041249194,0.008491418,0.01,4,2,(6, 6),elu,6,relu,0.001
400,0.025575649631874902,0.025296235,0.27941567,0.01,4,2,(6, 6),elu,6,relu,0.0001
400,0.0038484103179403715,0.003845065,0.0033455295,0.01,4,2,(6, 6),elu,6,sigmoid,0.001
400,0.010250414109655789,0.010233953,0.016461367,0.01,4,2,(6, 6),elu,6,sigmoid,0.0001
400,0.003492091902132545,0.0034810766,0.011015191,0.01,4,2,(6, 6),elu,6,softplus,0.001
400,0.014899000764957496,0.014878617,0.020383354,0.01,4,2,(6, 6),elu,6,softplus,0.0001
400,0.0022906387557408638,0.0022811382,0.009500551,0.01,4,2,(6, 6),elu,3,relu,0.001
400,0.017681119803871426,0.017611146,0.0699737,0.01,4,2,(6, 6),elu,3,relu,0.0001
400,0.003442163532599807,0.0034334767,0.008686778,0.01,4,2,(6, 6),elu,3,sigmoid,0.001
400,0.012822995707392693,0.012798804,0.024191588,0.01,4,2,(6, 6),elu,3,sigmoid,0.0001
400,0.0021788561450583593,0.0021738012,0.005054953,0.01,4,2,(6, 6),elu,3,softplus,0.001
400,0.019682989003402845,0.019652436,0.030554825,0.01,4,2,(6, 6),elu,3,softplus,0.0001
400,0.006179808951648218,0.006169002,0.010807221,0.01,4,2,(6, 6),tanh,6,relu,0.001
400,0.01621862846825804,0.016138902,0.07972658,0.01,4,2,(6, 6),tanh,6,relu,0.0001
400,0.009503994749060699,0.009476181,0.027813425,0.01,4,2,(6, 6),tanh,6,sigmoid,0.001
400,0.009252172602074487,0.009236481,0.015690846,0.01,4,2,(6, 6),tanh,6,sigmoid,0.0001
400,0.004710793135953801,0.0046988674,0.011925899,0.01,4,2,(6, 6),tanh,6,softplus,0.001
400,0.025159285643271037,0.025096253,0.06303249,0.01,4,2,(6, 6),tanh,6,softplus,0.0001
